a_id,b_id,a,b,count,pmi,lift,cuisines
black-pepper,low-sodium-soy-sauce,black pepper,low-sodium soy sauce,1,4.3923,21,asian
brown-sugar,lime-juice,brown sugar,lime juice,1,4.3923,21,asian
brown-sugar,crushed-red-pepper-flakes,brown sugar,crushed red pepper flakes,1,4.3923,21,asian
black-pepper,brown-sugar,black pepper,brown sugar,1,4.3923,21,asian
crushed-red-pepper-flakes,lime-juice,crushed red pepper flakes,lime juice,1,4.3923,21,asian
black-pepper,lime-juice,black pepper,lime juice,1,4.3923,21,asian
black-pepper,crushed-red-pepper-flakes,black pepper,crushed red pepper flakes,1,4.3923,21,asian
beef-chuck,chili-powder,beef chuck,chili powder,1,3.3923,10.5,mexican
beef-chuck,oregano,beef chuck,oregano,1,3.3923,10.5,mexican
beef-broth,chili-powder,beef broth,chili powder,1,3.3923,10.5,mexican
beef-broth,oregano,beef broth,oregano,1,3.3923,10.5,mexican
parmesan,spaghetti,parmesan,spaghetti,1,3.3923,10.5,italian
broccoli,sesame-oil,broccoli,sesame oil,1,3.3923,10.5,chinese
egg,scallion,egg,scallion,1,3.3923,10.5,chinese
peas,scallion,peas,scallion,1,3.3923,10.5,chinese
dill,yogurt,dill,yogurt,1,3.3923,10.5,mediterranean
feta,oregano,feta,oregano,1,3.3923,10.5,mediterranean
avocado,cilantro,avocado,cilantro,1,3.3923,10.5,mexican
cilantro,salt,cilantro,salt,1,3.3923,10.5,mexican
miso,scallion,miso,scallion,1,3.3923,10.5,japanese
scallion,tofu,scallion,tofu,1,3.3923,10.5,japanese
scallion,seaweed,scallion,seaweed,1,3.3923,10.5,japanese
parmesan,pine-nuts,parmesan,pine nuts,1,3.3923,10.5,italian
parmesan,pasta,parmesan,pasta,1,3.3923,10.5,italian
chickpea,tahini,chickpea,tahini,1,3.3923,10.5,middle-eastern
flank-steak,sesame-oil,flank steak,sesame oil,1,3.3923,10.5,asian
low-sodium-soy-sauce,sesame-oil,low-sodium soy sauce,sesame oil,1,3.3923,10.5,asian
brown-sugar,sesame-oil,brown sugar,sesame oil,1,3.3923,10.5,asian
lime-juice,sesame-oil,lime juice,sesame oil,1,3.3923,10.5,asian
crushed-red-pepper-flakes,sesame-oil,crushed red pepper flakes,sesame oil,1,3.3923,10.5,asian
black-pepper,sesame-oil,black pepper,sesame oil,1,3.3923,10.5,asian
chili-powder,lime,chili powder,lime,2,2.0704,4.2,mexican
cilantro,lime,cilantro,lime,2,2.0704,4.2,mexican
lemon,olive-oil,lemon,olive oil,4,1.2224,2.3333,mediterranean|middle-eastern
beef-chuck,cumin,beef chuck,cumin,1,2.8074,7,mexican
beef-broth,cumin,beef broth,cumin,1,2.8074,7,mexican
basil,spaghetti,basil,spaghetti,1,2.8074,7,italian
basil,mozzarella,basil,mozzarella,1,2.8074,7,italian
broccoli,soy-sauce,broccoli,soy sauce,1,2.8074,7,chinese
egg,soy-sauce,egg,soy sauce,1,2.8074,7,chinese
peas,soy-sauce,peas,soy sauce,1,2.8074,7,chinese
cucumber,dill,cucumber,dill,1,2.8074,7,mediterranean
cucumber,feta,cucumber,feta,1,2.8074,7,mediterranean
basil,pine-nuts,basil,pine nuts,1,2.8074,7,italian
basil,pasta,basil,pasta,1,2.8074,7,italian
cucumber,parsley,cucumber,parsley,1,2.8074,7,middle-eastern
bulgur,cucumber,bulgur,cucumber,1,2.8074,7,middle-eastern
chili-powder,onion,chili powder,onion,2,1.585,3,mexican
onion,oregano,onion,oregano,2,1.585,3,mexican|mediterranean
chicken,ginger,chicken,ginger,2,1.585,3,indian|japanese
coriander,ginger,coriander,ginger,2,1.585,3,indian
ginger,sesame-oil,ginger,sesame oil,2,1.585,3,chinese|asian
cilantro,onion,cilantro,onion,2,1.585,3,mexican
basil,olive-oil,basil,olive oil,3,1.2224,2.3333,italian
cucumber,olive-oil,cucumber,olive oil,3,1.2224,2.3333,mediterranean|middle-eastern
chili-powder,oregano,chili powder,oregano,1,2.3923,5.25,mexican
chicken,yogurt,chicken,yogurt,1,2.3923,5.25,indian
chicken,coriander,chicken,coriander,1,2.3923,5.25,indian
coriander,yogurt,coriander,yogurt,1,2.3923,5.25,indian
chickpea,coriander,chickpea,coriander,1,2.3923,5.25,indian
broccoli,rice,broccoli,rice,1,2.3923,5.25,chinese
egg,rice,egg,rice,1,2.3923,5.25,chinese
peas,rice,peas,rice,1,2.3923,5.25,chinese
dill,lemon,dill,lemon,1,2.3923,5.25,mediterranean
feta,lemon,feta,lemon,1,2.3923,5.25,mediterranean
chili-powder,cilantro,chili powder,cilantro,1,2.3923,5.25,mexican
lemon,parsley,lemon,parsley,1,2.3923,5.25,middle-eastern
bulgur,lemon,bulgur,lemon,1,2.3923,5.25,middle-eastern
lemon,tahini,lemon,tahini,1,2.3923,5.25,middle-eastern
rice,shrimp,rice,shrimp,1,2.3923,5.25,thai
coconut-milk,rice,coconut milk,rice,1,2.3923,5.25,thai
curry-powder,rice,curry powder,rice,1,2.3923,5.25,thai
cumin,lime,cumin,lime,2,1.4854,2.8,mexican|indian
ginger,rice,ginger,rice,3,1.1699,2.25,chinese|japanese|thai
beef-chuck,lime,beef chuck,lime,1,2.0704,4.2,mexican
beef-broth,lime,beef broth,lime,1,2.0704,4.2,mexican
avocado,lime,avocado,lime,1,2.0704,4.2,mexican
lime,salt,lime,salt,1,2.0704,4.2,mexican
lime,shrimp,lime,shrimp,1,2.0704,4.2,thai
coconut-milk,lime,coconut milk,lime,1,2.0704,4.2,thai
curry-powder,lime,curry powder,lime,1,2.0704,4.2,thai
basil,tomato,basil,tomato,2,1.2224,2.3333,italian
olive-oil,parmesan,olive oil,parmesan,2,1.2224,2.3333,italian
cucumber,tomato,cucumber,tomato,2,1.2224,2.3333,mediterranean|middle-eastern
chili-powder,cumin,chili powder,cumin,1,1.8074,3.5,mexican
cumin,oregano,cumin,oregano,1,1.8074,3.5,mexican
spaghetti,tomato,spaghetti,tomato,1,1.8074,3.5,italian
mozzarella,tomato,mozzarella,tomato,1,1.8074,3.5,italian
chicken,cumin,chicken,cumin,1,1.8074,3.5,indian
cumin,yogurt,cumin,yogurt,1,1.8074,3.5,indian
chickpea,cumin,chickpea,cumin,1,1.8074,3.5,indian
sesame-oil,soy-sauce,sesame oil,soy sauce,1,1.8074,3.5,chinese
scallion,soy-sauce,scallion,soy sauce,1,1.8074,3.5,chinese
cucumber,yogurt,cucumber,yogurt,1,1.8074,3.5,mediterranean
cucumber,oregano,cucumber,oregano,1,1.8074,3.5,mediterranean
feta,tomato,feta,tomato,1,1.8074,3.5,mediterranean
chicken,soy-sauce,chicken,soy sauce,1,1.8074,3.5,japanese
parsley,tomato,parsley,tomato,1,1.8074,3.5,middle-eastern
bulgur,tomato,bulgur,tomato,1,1.8074,3.5,middle-eastern
lime,onion,lime,onion,3,0.848,1.8,mexican
beef-chuck,onion,beef chuck,onion,1,1.585,3,mexican
cumin,onion,cumin,onion,2,1,2,mexican|indian
beef-broth,onion,beef broth,onion,1,1.585,3,mexican
cumin,ginger,cumin,ginger,2,1,2,indian
broccoli,ginger,broccoli,ginger,1,1.585,3,chinese
ginger,soy-sauce,ginger,soy sauce,2,1,2,chinese|japanese
feta,onion,feta,onion,1,1.585,3,mediterranean
avocado,onion,avocado,onion,1,1.585,3,mexican
onion,salt,onion,salt,1,1.585,3,mexican
lentil,onion,lentil,onion,1,1.585,3,mediterranean
carrot,onion,carrot,onion,1,1.585,3,mediterranean
celery,onion,celery,onion,1,1.585,3,mediterranean
beef,ginger,beef,ginger,1,1.585,3,vietnamese
beef,onion,beef,onion,1,1.585,3,vietnamese
ginger,star-anise,ginger,star anise,1,1.585,3,vietnamese
clove,ginger,clove,ginger,1,1.585,3,vietnamese
ginger,rice-noodles,ginger,rice noodles,1,1.585,3,vietnamese
onion,star-anise,onion,star anise,1,1.585,3,vietnamese
clove,onion,clove,onion,1,1.585,3,vietnamese
onion,rice-noodles,onion,rice noodles,1,1.585,3,vietnamese
ginger,shrimp,ginger,shrimp,1,1.585,3,thai
coconut-milk,ginger,coconut milk,ginger,1,1.585,3,thai
curry-powder,ginger,curry powder,ginger,1,1.585,3,thai
flank-steak,ginger,flank steak,ginger,1,1.585,3,asian
ginger,low-sodium-soy-sauce,ginger,low-sodium soy sauce,1,1.585,3,asian
brown-sugar,ginger,brown sugar,ginger,1,1.585,3,asian
ginger,lime-juice,ginger,lime juice,1,1.585,3,asian
crushed-red-pepper-flakes,ginger,crushed red pepper flakes,ginger,1,1.585,3,asian
black-pepper,ginger,black pepper,ginger,1,1.585,3,asian
olive-oil,tomato,olive oil,tomato,4,0.6374,1.5556,italian|mediterranean|middle-eastern
rice,sesame-oil,rice,sesame oil,1,1.3923,2.625,chinese
rice,scallion,rice,scallion,1,1.3923,2.625,chinese
lemon,yogurt,lemon,yogurt,1,1.3923,2.625,mediterranean
lemon,oregano,lemon,oregano,1,1.3923,2.625,mediterranean
chicken,rice,chicken,rice,1,1.3923,2.625,japanese
chickpea,lemon,chickpea,lemon,1,1.3923,2.625,middle-eastern
lemon,tomato,lemon,tomato,2,0.8074,1.75,mediterranean|middle-eastern
olive-oil,spaghetti,olive oil,spaghetti,1,1.2224,2.3333,italian
mozzarella,olive-oil,mozzarella,olive oil,1,1.2224,2.3333,italian
dill,olive-oil,dill,olive oil,1,1.2224,2.3333,mediterranean
feta,olive-oil,feta,olive oil,1,1.2224,2.3333,mediterranean
olive-oil,zucchini,olive oil,zucchini,1,1.2224,2.3333,mediterranean
eggplant,olive-oil,eggplant,olive oil,1,1.2224,2.3333,mediterranean
bell-pepper,olive-oil,bell pepper,olive oil,1,1.2224,2.3333,mediterranean
olive-oil,thyme,olive oil,thyme,1,1.2224,2.3333,mediterranean
olive-oil,pine-nuts,olive oil,pine nuts,1,1.2224,2.3333,italian
olive-oil,pasta,olive oil,pasta,1,1.2224,2.3333,italian
lentil,olive-oil,lentil,olive oil,1,1.2224,2.3333,mediterranean
carrot,olive-oil,carrot,olive oil,1,1.2224,2.3333,mediterranean
celery,olive-oil,celery,olive oil,1,1.2224,2.3333,mediterranean
olive-oil,parsley,olive oil,parsley,1,1.2224,2.3333,middle-eastern
bulgur,olive-oil,bulgur,olive oil,1,1.2224,2.3333,middle-eastern
olive-oil,tahini,olive oil,tahini,1,1.2224,2.3333,middle-eastern
onion,tomato,onion,tomato,3,0.585,1.5,indian|mediterranean|mexican
garlic,rice,garlic,rice,4,0.4854,1.4,chinese|japanese|thai
lime,oregano,lime,oregano,1,1.0704,2.1,mexican
chicken,lime,chicken,lime,1,1.0704,2.1,indian
lime,yogurt,lime,yogurt,1,1.0704,2.1,indian
coriander,lime,coriander,lime,1,1.0704,2.1,indian
cumin,garlic,cumin,garlic,3,0.4854,1.4,mexican|indian
garlic,soy-sauce,garlic,soy sauce,3,0.4854,1.4,chinese|japanese
parmesan,tomato,parmesan,tomato,1,0.8074,1.75,italian
chickpea,tomato,chickpea,tomato,1,0.8074,1.75,indian
coriander,tomato,coriander,tomato,1,0.8074,1.75,indian
oregano,tomato,oregano,tomato,1,0.8074,1.75,mediterranean
chili-powder,tomato,chili powder,tomato,1,0.8074,1.75,mexican
cilantro,tomato,cilantro,tomato,1,0.8074,1.75,mexican
chili-powder,garlic,chili powder,garlic,2,0.4854,1.4,mexican
garlic,parmesan,garlic,parmesan,2,0.4854,1.4,italian
chicken,garlic,chicken,garlic,2,0.4854,1.4,indian|japanese
garlic,yogurt,garlic,yogurt,2,0.4854,1.4,indian|mediterranean
coriander,garlic,coriander,garlic,2,0.4854,1.4,indian
chickpea,garlic,chickpea,garlic,2,0.4854,1.4,indian|middle-eastern
garlic,sesame-oil,garlic,sesame oil,2,0.4854,1.4,chinese|asian
garlic,ginger,garlic,ginger,6,0.263,1.2,indian|chinese|japanese|thai|asian
ginger,yogurt,ginger,yogurt,1,0.585,1.5,indian
chickpea,onion,chickpea,onion,1,0.585,1.5,indian
chickpea,ginger,chickpea,ginger,1,0.585,1.5,indian
coriander,onion,coriander,onion,1,0.585,1.5,indian
beef-chuck,garlic,beef chuck,garlic,1,0.4854,1.4,mexican
beef-broth,garlic,beef broth,garlic,1,0.4854,1.4,mexican
garlic,spaghetti,garlic,spaghetti,1,0.4854,1.4,italian
broccoli,garlic,broccoli,garlic,1,0.4854,1.4,chinese
egg,garlic,egg,garlic,1,0.4854,1.4,chinese
garlic,peas,garlic,peas,1,0.4854,1.4,chinese
dill,garlic,dill,garlic,1,0.4854,1.4,mediterranean
garlic,zucchini,garlic,zucchini,1,0.4854,1.4,mediterranean
eggplant,garlic,eggplant,garlic,1,0.4854,1.4,mediterranean
bell-pepper,garlic,bell pepper,garlic,1,0.4854,1.4,mediterranean
garlic,thyme,garlic,thyme,1,0.4854,1.4,mediterranean
garlic,pine-nuts,garlic,pine nuts,1,0.4854,1.4,italian
garlic,pasta,garlic,pasta,1,0.4854,1.4,italian
garlic,lentil,garlic,lentil,1,0.4854,1.4,mediterranean
carrot,garlic,carrot,garlic,1,0.4854,1.4,mediterranean
celery,garlic,celery,garlic,1,0.4854,1.4,mediterranean
garlic,tahini,garlic,tahini,1,0.4854,1.4,middle-eastern
garlic,shrimp,garlic,shrimp,1,0.4854,1.4,thai
coconut-milk,garlic,coconut milk,garlic,1,0.4854,1.4,thai
curry-powder,garlic,curry powder,garlic,1,0.4854,1.4,thai
flank-steak,garlic,flank steak,garlic,1,0.4854,1.4,asian
garlic,low-sodium-soy-sauce,garlic,low-sodium soy sauce,1,0.4854,1.4,asian
brown-sugar,garlic,brown sugar,garlic,1,0.4854,1.4,asian
garlic,lime-juice,garlic,lime juice,1,0.4854,1.4,asian
crushed-red-pepper-flakes,garlic,crushed red pepper flakes,garlic,1,0.4854,1.4,asian
black-pepper,garlic,black pepper,garlic,1,0.4854,1.4,asian
ginger,lime,ginger,lime,2,0.263,1.2,indian|thai
garlic,lime,garlic,lime,4,0.1635,1.12,mexican|indian|thai
cumin,tomato,cumin,tomato,1,0.2224,1.1667,indian
olive-oil,yogurt,olive oil,yogurt,1,0.2224,1.1667,mediterranean
olive-oil,oregano,olive oil,oregano,1,0.2224,1.1667,mediterranean
chickpea,olive-oil,chickpea,olive oil,1,0.2224,1.1667,middle-eastern
lime,rice,lime,rice,1,0.0704,1.05,thai
cucumber,onion,cucumber,onion,1,0,1,mediterranean
basil,garlic,basil,garlic,2,-0.0995,0.9333,italian
garlic,olive-oil,garlic,olive oil,6,-0.0995,0.9333,italian|mediterranean|middle-eastern
ginger,onion,ginger,onion,2,-0.2224,0.8571,indian|vietnamese
lemon,onion,lemon,onion,1,-0.415,0.75,mediterranean
garlic,oregano,garlic,oregano,1,-0.5146,0.7,mexican
garlic,scallion,garlic,scallion,1,-0.5146,0.7,chinese
lime,tomato,lime,tomato,1,-0.5146,0.7,mexican
cilantro,garlic,cilantro,garlic,1,-0.5146,0.7,mexican
garlic,onion,garlic,onion,4,-0.3219,0.8,mexican|indian|mediterranean
garlic,lemon,garlic,lemon,2,-0.5146,0.7,mediterranean|middle-eastern
olive-oil,onion,olive oil,onion,2,-0.585,0.6667,mediterranean
ginger,tomato,ginger,tomato,1,-1,0.5,indian
garlic,tomato,garlic,tomato,3,-0.5146,0.7,italian|indian|mexican
cucumber,garlic,cucumber,garlic,1,-1.0995,0.4667,mediterranean
